Instance,No_Nodes,No_Periods,No_Vehicles,No_Scenario,Unc_Range,Prob_Func,SLtype,SL,Algorithm_x,ObjVal_IMH,CPU_IMH,No_Iter,Feasibility_IMH,Setup_Cost_IMH,AVG_Prod_Cost_IMH,AVG_Hold_Cost_IMH,AVG_Transp_Cost_IMH,Algorithm_y,UB_BC,LB_BC,Gap_BC,Diff_IMH,CPU_BC,Total_CPU_BC,Feasibility,Setup_Cost_BC,AVG_Prod_Cost_BC,AVG_Hold_Cost_BC,AVG_Transp_Cost_BC,Algorithm,UB_FR_BC,LB_FR_BC,Gap_FR_BC,CPU_FR_BC,Feasibility_FR_BC,Setup_Cost_FR_BC,AVG_Prod_Cost_FR_BC,AVG_Hold_Cost_FR_BC,Transp_Cost_Total_FR_BC,UB_PostOpt_FR_BC,AVG_Transp_Cost_PostOpt_FR_BC,Diff_Post_Opt,Diff_LB_FR_BC,Diff_UB_FR_BC,AllFeasible_on_Diff_SL_IMH,AllFeasible_on_Diff_SL_FRBC,AllFeasible_on_Diff_SLTypes_IMH,AllFeasible_on_Diff_SLTypes_FRBC
ABS49_50_1,6,3,1,100,0.20,Uniform,alpha,0.70,IMH,11807.83,52.845,7,Feasible,3000.0,2490.0,715.07,5602.76,BC,11551.44,10709.61,7.29,-2.17,7202.588,7255.43,Feasible,3000.0,2490.6,710.69,5350.15,FR_BC,13798.32,13125.77,4.87,7205.01,Feasible,3000.0,2488.8,748.29,7561.23,11854.47,5617.39,-2.56,-11.99,-22.38,True,True,True,True
ABS49_50_1,11,3,1,100,0.20,Uniform,alpha,0.70,IMH,13991.56,50.199,8,Feasible,3000.0,3816.6,2518.49,4640.59,BC,13977.56,13320.82,4.7,-0.1,5702.325,5752.52,Feasible,3000.0,3805.8,2516.25,4655.51,FR_BC,16280.78,16280.76,0.0,102.415,Feasible,3000.0,3789.3,2476.61,7014.87,14641.32,5375.41,-4.53,-14.15,-18.18,True,True,True,True
ABS49_50_1,16,3,1,100,0.20,Uniform,alpha,0.70,IMH,19217.85,106.089,8,Feasible,3000.0,5964.3,3823.97,6356.12,BC,19189.94,18447.88,3.87,-0.15,7211.638,7317.73,Feasible,3000.0,5949.3,3822.79,6417.85,FR_BC,22086.85,22086.85,0.0,56.81,Feasible,3000.0,5920.2,3779.82,9386.83,19833.18,7133.16,-3.24,-13.12,-16.48,True,True,True,True
ABS49_50_1,21,3,1,100,0.20,Uniform,alpha,0.70,IMH,23552.23,680.066,8,Feasible,3000.0,8567.7,4851.79,6943.17,BC,23550.43,22820.95,3.1,-0.01,7210.237,7890.3,Feasible,3000.0,8565.9,4894.24,7090.29,FR_BC,28850.99,28840.24,0.04,7204.905,Feasible,3000.0,8547.0,4664.27,12639.72,25446.11,9234.84,-7.45,-18.34,-20.9,True,True,True,True
ABS49_50_1,26,3,1,100,0.20,Uniform,alpha,0.70,IMH,27397.77,1800.74,8,Feasible,3000.0,9980.1,6438.65,7968.84,BC,27397.77,26320.77,3.93,0.0,7201.316,9002.06,Feasible,3000.0,9980.1,6448.83,7968.84,FR_BC,32487.56,32485.1,0.01,7204.527,Feasible,3000.0,9899.7,6148.96,13438.9,28926.49,9877.83,-5.28,-15.66,-18.98,True,True,True,True
ABS49_50_1,31,3,1,100,0.20,Uniform,alpha,0.70,IMH,30849.02,2100.475,8,Feasible,3000.0,11993.4,7723.58,8167.86,BC,31206.52,29492.8,5.49,0.0,7201.578,9302.05,Feasible,3000.0,11993.4,7799.4,8413.73,FR_BC,36299.49,36299.46,0.0,3302.107,Feasible,3000.0,11907.0,7387.43,14005.07,32604.73,10310.31,-4.29,-14.03,-18.75,True,True,True,True
ABS49_50_1,6,3,2,100,0.20,Uniform,alpha,0.70,IMH,13524.7,161.351,7,Feasible,3000.0,2492.7,717.45,7314.55,BC,13292.05,11794.17,11.27,-1.72,7201.927,7363.28,Feasible,3000.0,2478.9,686.56,7126.59,FR_BC,17501.5,14690.1,16.06,7200.129,Feasible,3000.0,2523.3,685.62,11292.58,14957.24,8748.32,-11.13,-9.52,-32.61,True,True,True,True
ABS49_50_1,11,3,2,100,0.20,Uniform,alpha,0.70,IMH,14048.0,55.274,8,Feasible,3000.0,3815.1,2516.34,4647.54,BC,14041.1,13577.03,3.31,-0.05,7203.036,7258.31,Feasible,3000.0,3810.6,2513.94,4716.56,FR_BC,16280.78,16280.77,0.0,77.206,Feasible,3000.0,3789.3,2476.61,7014.87,14651.05,5385.14,-4.16,-13.76,-16.61,True,True,True,True
ABS49_50_1,16,3,2,100,0.20,Uniform,alpha,0.70,IMH,20383.89,338.495,8,Feasible,3000.0,6004.2,3810.57,7406.37,BC,20383.56,18552.31,8.98,-0.0,7201.152,7539.65,Feasible,3000.0,6004.2,3825.74,7553.62,FR_BC,22523.41,22284.63,1.06,2331.862,Feasible,3000.0,6015.3,3811.22,9696.89,21095.46,8268.94,-3.37,-8.53,-17.63,True,True,True,True
ABS49_50_1,21,3,2,100,0.20,Uniform,alpha,0.70,IMH,24536.53,2037.108,8,Feasible,3000.0,8594.1,4893.49,8048.94,BC,24536.53,23044.47,6.08,0.0,7201.54,9238.65,Feasible,3000.0,8594.1,4893.49,8048.94,FR_BC,29687.85,27901.35,6.02,7200.39,Feasible,3000.0,8574.6,4565.17,13548.08,26260.12,10120.35,-6.56,-12.06,-22.38,True,True,True,True
