Instance,No_Nodes,No_Periods,No_Vehicles,No_Scenario,Unc_Range,Prob_Func,SLtype,SL,Algorithm_x,ObjVal_IMH,CPU_IMH,No_Iter,Feasibility_IMH,Setup_Cost_IMH,AVG_Prod_Cost_IMH,AVG_Hold_Cost_IMH,AVG_Transp_Cost_IMH,Algorithm_y,UB_BC,LB_BC,Gap_BC,Diff_IMH,CPU_BC,Total_CPU_BC,Feasibility,Setup_Cost_BC,AVG_Prod_Cost_BC,AVG_Hold_Cost_BC,AVG_Transp_Cost_BC,Algorithm,UB_FR_BC,LB_FR_BC,Gap_FR_BC,CPU_FR_BC,Feasibility_FR_BC,Setup_Cost_FR_BC,AVG_Prod_Cost_FR_BC,AVG_Hold_Cost_FR_BC,Transp_Cost_Total_FR_BC,UB_PostOpt_FR_BC,AVG_Transp_Cost_PostOpt_FR_BC,Diff_Post_Opt,Diff_LB_FR_BC,Diff_UB_FR_BC,AllFeasible_on_Diff_SL_IMH,AllFeasible_on_Diff_SL_FRBC,AllFeasible_on_Diff_SLTypes_IMH,AllFeasible_on_Diff_SLTypes_FRBC
ABS49_50_1,6,3,1,100,0.20,Uniform,alpha,0.70,IMH,14031.98,12.598,7,Feasible,6000.0,2456.7,524.84,5050.44,BC,14031.97,13715.97,2.25,-0.0,7204.016,7216.61,Feasible,6000.0,2456.69,524.84,5050.44,FR_BC,16982.62,16982.61,0.0,18.188,Feasible,6000.0,2456.7,523.14,8002.78,14158.07,5178.24,-0.89,-17.37,-19.24,True,True,True,True
ABS49_50_1,11,3,1,100,0.20,Uniform,alpha,0.70,IMH,13697.57,19.366,8,Feasible,3000.0,3790.5,2503.35,4347.0,BC,13697.54,13492.56,1.5,-0.0,7202.751,7222.12,Feasible,3000.0,3790.48,2514.79,4392.27,FR_BC,16284.66,16284.66,0.0,17.138,Feasible,3000.0,3791.7,2478.09,7014.87,14406.58,5136.79,-4.92,-15.89,-17.15,True,True,True,True
ABS49_50_1,16,3,1,100,0.20,Uniform,alpha,0.70,IMH,18799.46,41.845,8,Feasible,3000.0,5928.9,3824.88,5996.0,BC,18799.41,18558.05,1.28,-0.0,7202.494,7244.34,Feasible,3000.0,5928.87,3824.86,6045.68,FR_BC,22092.68,22092.68,0.0,50.321,Feasible,3000.0,5924.4,3781.45,9386.83,19493.66,6787.81,-3.56,-14.91,-16.0,True,True,True,True
ABS49_50_1,21,3,1,100,0.20,Uniform,alpha,0.70,IMH,23524.68,78.278,8,Feasible,3000.0,8610.3,4905.52,6887.67,BC,23524.61,22976.64,2.33,-0.0,3539.801,3618.08,Feasible,3000.0,8610.26,4905.5,7008.86,FR_BC,28858.17,28858.17,0.0,264.979,Feasible,3000.0,8552.1,4666.35,12639.72,25047.48,8829.03,-6.08,-18.48,-20.38,True,True,True,True
ABS49_50_1,26,3,1,100,0.20,Uniform,alpha,0.70,IMH,26986.9,188.105,8,Feasible,3000.0,9902.7,6441.4,7411.54,BC,26986.83,26486.62,1.85,-0.0,6238.963,6427.07,Feasible,3000.0,9902.65,6443.15,7641.02,FR_BC,32496.53,32496.5,0.0,1566.165,Feasible,3000.0,9906.3,6151.33,13438.9,28437.14,9379.51,-5.1,-16.95,-18.49,True,True,False,True
ABS49_50_1,31,3,1,100,0.20,Uniform,alpha,0.70,IMH,30828.91,299.351,8,Feasible,3000.0,11961.6,7727.44,8044.01,BC,30828.82,29891.16,3.04,-0.0,5990.056,6289.41,Feasible,3000.0,11961.54,7760.05,8107.23,FR_BC,36310.33,36310.31,0.0,1271.115,Feasible,3000.0,11910.3,7394.97,14005.07,32073.18,9767.91,-3.88,-15.1,-17.68,True,True,True,False
ABS49_50_1,6,3,2,100,0.20,Uniform,alpha,0.70,IMH,16050.69,55.391,7,Feasible,6000.0,2464.2,542.12,7044.37,BC,15990.92,14710.68,8.01,-0.37,7202.006,7257.4,Feasible,6000.0,2457.29,540.28,6993.36,FR_BC,20386.83,20383.08,0.02,7203.149,Feasible,6000.0,2490.6,406.31,11489.92,17917.58,9020.67,-10.75,-21.55,-27.84,True,True,True,True
ABS49_50_1,11,3,2,100,0.20,Uniform,alpha,0.70,IMH,13826.01,27.378,8,Feasible,3000.0,3792.6,2496.71,4445.09,BC,13825.98,13514.84,2.25,-0.0,7204.87,7232.25,Feasible,3000.0,3792.58,2508.62,4524.78,FR_BC,17075.38,17075.37,0.0,205.594,Feasible,3000.0,3795.0,2458.29,7822.09,15242.76,5989.47,-9.29,-19.03,-20.85,True,True,True,True
ABS49_50_1,16,3,2,100,0.20,Uniform,alpha,0.70,IMH,19922.67,387.508,8,Feasible,3000.0,5928.9,3800.19,7193.58,BC,19922.67,18631.06,6.48,0.0,6323.313,6710.82,Feasible,3000.0,5928.9,3800.19,7193.58,FR_BC,24201.59,23844.98,1.47,7203.84,Feasible,3000.0,5922.6,3583.61,11695.38,20745.15,8238.94,-3.96,-16.45,-23.02,True,True,True,True
ABS49_50_1,21,3,2,100,0.20,Uniform,alpha,0.70,IMH,24371.16,1457.785,8,Feasible,3000.0,8565.3,4880.73,7925.13,BC,24371.16,23024.84,5.52,0.0,7201.567,8659.35,Feasible,3000.0,8565.3,4880.73,7925.13,FR_BC,29934.49,28085.93,6.18,7200.41,Feasible,3000.0,8549.4,4515.13,13869.96,25486.81,9422.28,-4.38,-13.23,-23.08,True,True,True,False
ABS49_50_1,26,3,2,100,0.20,Uniform,alpha,0.70,IMH,27947.8,5311.484,8,Feasible,3000.0,9902.7,6335.66,8705.15,BC,27947.44,26532.21,5.06,-0.0,7205.529,12517.01,Feasible,3000.0,9902.7,6339.59,8705.15,FR_BC,35302.26,31513.31,10.73,7204.957,Feasible,3000.0,9916.5,5907.04,16478.72,29958.28,11134.74,-6.71,-11.32,-24.84,True,True,True,False
ABS49_50_1,31,3,2,100,0.20,Uniform,alpha,0.70,IMH,31494.35,4029.846,8,Feasible,3000.0,11971.5,7741.05,8781.8,BC,31494.35,29675.31,5.78,0.0,7203.516,11233.36,Feasible,3000.0,11971.5,7741.05,8781.8,FR_BC,40400.19,35041.86,13.26,7204.911,Feasible,3000.0,12110.1,6906.57,18383.52,34755.1,12738.43,-9.38,-10.12,-26.55,True,True,True,False
ABS49_50_1,6,3,3,100,0.20,Uniform,alpha,0.70,IMH,18495.33,690.502,7,Feasible,6000.0,2467.8,491.0,9536.53,BC,18259.52,16823.82,7.86,-1.27,7203.967,7894.47,Feasible,6000.0,2457.89,433.68,9367.96,FR_BC,23446.03,23274.58,0.73,7200.113,Feasible,6000.0,2457.0,438.54,14550.49,22525.53,13629.99,-18.94,-21.55,-28.24,True,True,True,True
ABS49_50_1,11,3,3,100,0.20,Uniform,alpha,0.70,IMH,14670.91,55.768,8,Feasible,3000.0,3821.7,2496.35,5347.05,BC,14670.91,13718.61,6.49,0.0,7216.218,7271.99,Feasible,3000.0,3821.7,2496.35,5352.86,FR_BC,17474.38,17474.38,0.0,623.792,Feasible,3000.0,3790.5,2479.55,8204.33,15241.05,5971.0,-3.74,-16.04,-21.49,True,True,True,True
ABS49_50_1,16,3,3,100,0.20,Uniform,alpha,0.70,IMH,20894.76,3647.296,8,Feasible,3000.0,5928.0,3742.54,8224.23,BC,20894.6,18703.3,10.49,-0.0,7219.325,10866.62,Feasible,3000.0,5928.0,3742.38,8224.23,FR_BC,26541.92,23447.23,11.66,7202.116,Feasible,3000.0,5922.6,3636.21,13983.11,22326.35,9767.55,-6.41,-10.89,-29.53,True,True,True,False
ABS49_50_1,21,3,3,100,0.20,Uniform,alpha,0.70,IMH,25264.18,5445.716,6,Feasible,3000.0,8562.0,4876.23,8825.95,BC,25264.18,23162.21,8.32,0.0,7206.2,12651.92,Feasible,3000.0,8562.0,4876.23,8825.95,FR_BC,34759.55,27556.89,20.72,7202.634,Feasible,3000.0,8549.4,4715.5,18494.65,29366.83,13101.93,-13.97,-8.32,-33.36,True,True,True,False
ABS49_50_1,26,3,3,100,0.20,Uniform,alpha,0.70,IMH,29185.39,5450.273,6,Feasible,3000.0,9911.7,6387.35,9636.58,BC,29185.06,26621.53,8.78,-0.0,7203.221,12653.49,Feasible,3000.0,9911.7,6401.04,9872.32,FR_BC,42315.67,31267.13,26.11,7204.273,Feasible,3000.0,10034.1,5966.65,23314.92,34811.68,15810.93,-16.16,-6.66,-37.09,True,False,True,False
