Instance,No_Nodes,No_Periods,No_Vehicles,No_Scenario,Unc_Range,Prob_Func,SLtype,SL,Algorithm_x,ObjVal_IMH,CPU_IMH,No_Iter,Feasibility_IMH,Setup_Cost_IMH,AVG_Prod_Cost_IMH,AVG_Hold_Cost_IMH,AVG_Transp_Cost_IMH,Algorithm_y,UB_BC,LB_BC,Gap_BC,Diff_IMH,CPU_BC,Total_CPU_BC,Feasibility,Setup_Cost_BC,AVG_Prod_Cost_BC,AVG_Hold_Cost_BC,AVG_Transp_Cost_BC,Algorithm,UB_FR_BC,LB_FR_BC,Gap_FR_BC,CPU_FR_BC,Feasibility_FR_BC,Setup_Cost_FR_BC,AVG_Prod_Cost_FR_BC,AVG_Hold_Cost_FR_BC,Transp_Cost_Total_FR_BC,UB_PostOpt_FR_BC,AVG_Transp_Cost_PostOpt_FR_BC,Diff_Post_Opt,Diff_LB_FR_BC,Diff_UB_FR_BC,AllFeasible_on_Diff_SL_IMH,AllFeasible_on_Diff_SL_FRBC,AllFeasible_on_Diff_SLTypes_IMH,AllFeasible_on_Diff_SLTypes_FRBC
ABS49_50_1,6,3,1,100,0.20,Uniform,alpha,0.70,IMH,10689.2,1377.75,7,Feasible,3000.0,2110.2,597.62,4981.38,BC,10625.24,10016.08,5.73,-0.6,7204.073,8581.82,Feasible,3000.0,2112.0,595.47,4917.77,FR_BC,11685.16,11554.99,1.11,7204.453,Feasible,3000.0,2045.1,498.92,6141.14,11661.69,6117.67,-8.89,-8.05,-14.28,True,True,True,True
ABS49_50_1,11,3,1,100,0.20,Uniform,alpha,0.70,IMH,12616.73,325.193,9,Feasible,3000.0,2804.1,1972.81,4812.84,BC,12254.12,11784.07,3.84,-2.87,7201.735,7526.93,Feasible,3000.0,2845.8,2010.03,4398.29,FR_BC,13638.56,13638.55,0.0,898.977,Feasible,3000.0,2634.6,1796.31,6207.65,13186.01,5755.1,-7.07,-10.15,-13.6,True,True,True,True
ABS49_50_1,16,3,1,100,0.20,Uniform,alpha,0.70,IMH,15826.36,595.798,9,Feasible,3000.0,4328.7,2955.66,5475.63,BC,15797.83,14721.48,6.81,-0.18,7202.18,7797.98,Feasible,3000.0,4310.1,2943.0,5544.73,FR_BC,18214.52,18167.45,0.26,5593.065,Feasible,3000.0,3987.9,2647.01,8579.61,16956.71,7321.8,-6.83,-13.04,-19.18,True,True,True,True
ABS49_50_1,21,3,1,100,0.20,Uniform,alpha,0.70,IMH,19843.87,1966.304,9,Feasible,3000.0,6485.4,3687.57,6441.84,BC,19831.12,18743.01,5.49,-0.06,5529.576,7495.88,Feasible,3000.0,6474.3,3714.05,6642.77,FR_BC,22160.0,22137.54,0.1,7204.447,Feasible,3000.0,6105.3,3372.53,9682.17,20869.01,8391.18,-4.97,-10.42,-15.42,True,True,True,True
ABS49_50_1,26,3,1,100,0.20,Uniform,alpha,0.70,IMH,22459.29,1656.928,9,Feasible,3000.0,7104.6,4836.05,7322.09,BC,22443.4,21279.96,5.18,-0.07,7222.179,8879.11,Feasible,3000.0,7098.3,4843.72,7501.38,FR_BC,25038.17,24945.65,0.37,7206.985,Feasible,3000.0,6768.9,4491.65,10777.62,23589.99,9329.44,-4.86,-10.03,-15.01,True,True,False,False
ABS49_50_1,31,3,1,100,0.20,Uniform,alpha,0.70,IMH,25629.57,2130.445,9,Feasible,3000.0,8559.6,5740.73,8218.61,BC,25597.66,23883.26,6.7,-0.12,7219.345,9349.79,Feasible,3000.0,8538.0,5741.39,8318.27,FR_BC,28195.0,28171.68,0.08,7205.602,Feasible,3000.0,8331.3,5512.17,11351.53,26204.77,9361.3,-2.32,-9.14,-15.29,True,True,True,True
ABS49_50_1,6,3,2,100,0.20,Uniform,alpha,0.70,IMH,12970.1,2690.552,7,Feasible,3000.0,2002.5,434.05,7533.55,BC,12087.87,10825.18,10.45,-6.8,7202.862,9893.41,Feasible,3000.0,2087.7,512.25,6487.92,FR_BC,14290.41,12870.49,9.94,7205.297,Feasible,3000.0,2032.8,401.38,8856.23,13930.82,8496.64,-13.23,-6.08,-24.25,True,True,True,True
ABS49_50_1,11,3,2,100,0.20,Uniform,alpha,0.70,IMH,12583.05,254.727,9,Feasible,3000.0,2804.1,1971.0,4786.47,BC,12572.21,11490.48,8.6,-0.09,7201.782,7456.51,Feasible,3000.0,2796.0,1968.88,4807.34,FR_BC,13639.68,13627.26,0.09,7205.809,Feasible,3000.0,2634.0,1798.03,6207.65,13190.68,5758.65,-4.69,-7.74,-15.76,True,True,True,True
ABS49_50_1,16,3,2,100,0.20,Uniform,alpha,0.70,IMH,16221.48,651.619,9,Feasible,3000.0,4354.5,2961.1,5880.9,BC,16213.58,14880.48,8.22,-0.05,7201.465,7853.08,Feasible,3000.0,4349.4,2958.3,5905.88,FR_BC,18224.73,18005.74,1.2,7200.306,Feasible,3000.0,4003.5,2641.62,8579.61,17022.46,7377.34,-4.75,-9.95,-18.35,True,True,True,True
ABS49_50_1,21,3,2,100,0.20,Uniform,alpha,0.70,IMH,20084.29,1959.159,9,Feasible,3000.0,6537.0,3761.96,6746.22,BC,20084.29,18868.49,6.05,0.0,7203.012,9162.17,Feasible,3000.0,6537.0,3767.81,6779.48,FR_BC,22175.51,21956.35,0.99,7203.133,Feasible,3000.0,6129.0,3364.34,9682.17,20928.13,8434.79,-4.03,-8.53,-14.91,True,True,True,False
ABS49_50_1,26,3,2,100,0.20,Uniform,alpha,0.70,IMH,22633.99,2872.181,9,Feasible,3000.0,7137.6,4834.06,7472.2,BC,22633.99,21455.81,5.21,0.0,7202.313,10074.49,Feasible,3000.0,7137.6,4845.76,7650.63,FR_BC,29648.61,24157.71,18.52,7201.722,Feasible,3000.0,6767.4,4507.17,15374.04,27633.92,13359.35,-18.09,-6.31,-27.63,True,True,False,True
ABS49_50_1,31,3,2,100,0.20,Uniform,alpha,0.70,IMH,25665.4,2700.945,9,Feasible,3000.0,8627.4,5790.69,8093.46,BC,25665.4,24007.04,6.46,0.0,7203.019,9903.96,Feasible,3000.0,8627.4,5790.69,8247.31,FR_BC,33365.89,26501.24,20.57,7200.621,Feasible,3000.0,8532.9,5438.61,16394.38,28820.45,11848.94,-10.95,-3.15,-28.05,True,True,True,False
ABS49_50_1,6,3,3,100,0.20,Uniform,alpha,0.70,IMH,14628.32,2547.944,7,Feasible,3000.0,2001.6,397.98,9228.74,BC,13463.53,12178.63,9.54,-7.96,7202.664,9750.61,Feasible,3000.0,2096.7,506.87,7859.96,FR_BC,16292.89,15354.83,5.76,7201.838,Feasible,3000.0,2053.8,402.25,10836.84,15865.61,10409.56,-15.14,-12.32,-25.25,True,True,True,True
ABS49_50_1,11,3,3,100,0.20,Uniform,alpha,0.70,IMH,12758.29,226.642,9,Feasible,3000.0,2840.7,1999.14,4918.45,BC,12758.29,11705.95,8.25,0.0,7206.319,7432.96,Feasible,3000.0,2840.7,1999.14,4918.45,FR_BC,13644.92,13628.45,0.12,7203.46,Feasible,3000.0,2650.8,1786.47,6207.65,13229.6,5792.33,-3.56,-6.38,-14.21,True,True,True,True
ABS49_50_1,16,3,3,100,0.20,Uniform,alpha,0.70,IMH,17300.98,859.879,9,Feasible,3000.0,4187.4,2823.09,7286.59,BC,17300.98,14926.33,13.73,0.0,7212.653,8072.53,Feasible,3000.0,4187.4,2826.99,7286.59,FR_BC,18843.22,18319.9,2.78,7200.407,Feasible,3000.0,4059.3,2639.19,9144.73,17469.13,7770.64,-0.96,-5.56,-20.79,True,True,True,False
ABS49_50_1,21,3,3,100,0.20,Uniform,alpha,0.70,IMH,21096.25,5842.56,8,Feasible,3000.0,6531.0,3740.56,7727.31,BC,21096.25,19007.3,9.9,0.0,7202.209,13044.77,Feasible,3000.0,6531.0,3748.64,7816.61,FR_BC,29919.24,20869.61,30.25,7205.14,Feasible,3000.0,6178.2,3255.72,17485.32,24301.18,11867.26,-13.19,0.0,-36.47,True,True,True,False
ABS49_50_1,26,3,3,100,0.20,Uniform,alpha,0.70,IMH,24260.58,5564.174,7,Feasible,3000.0,6725.7,4392.98,10033.17,BC,24260.58,21521.48,11.29,0.0,7203.372,12767.55,Feasible,3000.0,6725.7,4394.24,10140.64,FR_BC,34220.92,23268.36,32.01,7200.637,Feasible,3000.0,6890.7,4517.84,19812.38,29716.86,15308.32,-18.36,0.0,-37.11,True,False,True,False
ABS49_50_1,31,3,3,100,0.20,Uniform,alpha,0.70,IMH,26281.22,6041.103,7,Feasible,3000.0,8628.0,5762.52,8890.7,BC,26281.22,24012.21,8.63,0.0,7204.979,13246.08,Feasible,3000.0,8628.0,5762.52,8890.7,,,,,,,,,,,,,,,,True,False,True,False
ABS49_50_1,6,6,1,100,0.20,Uniform,alpha,0.70,IMH,20108.78,6625.394,7,Feasible,6000.0,4289.7,1394.98,8420.65,BC,20099.13,15275.24,24.0,-0.05,7202.644,13828.04,Feasible,6000.0,4290.46,1392.19,8416.49,,,,,,,,,,,,,,,,True,False,True,False
ABS49_50_1,11,6,1,100,0.20,Uniform,alpha,0.70,IMH,24109.84,5440.032,7,Feasible,3000.0,5586.9,8010.41,7489.43,BC,24100.8,20408.48,15.32,-0.04,7207.111,12647.14,Feasible,3000.0,5582.52,8014.03,7504.25,,,,,,,,,,,,,,,,True,False,True,False
ABS49_50_1,16,6,1,100,0.20,Uniform,alpha,0.70,IMH,31962.92,5562.62,7,Feasible,3000.0,8361.3,11719.56,8834.08,BC,31962.5,27737.43,13.22,-0.0,7201.23,12763.85,Feasible,3000.0,8361.03,11741.92,8859.55,,,,,,,,,,,,,,,,True,False,False,False
ABS49_50_1,21,6,1,100,0.20,Uniform,alpha,0.70,IMH,41352.0,5531.054,7,Feasible,3000.0,12993.0,14304.81,10969.57,BC,41351.09,34074.08,17.6,-0.0,7201.666,12732.72,Feasible,3000.0,12992.64,14320.58,11037.87,,,,,,,,,,,,,,,,True,False,False,False
