Instance,No_Nodes,No_Periods,No_Vehicles,No_Scenario,Unc_Range,Prob_Func,SLtype,SL,Algorithm_x,ObjVal_IMH,CPU_IMH,No_Iter,Feasibility_IMH,Setup_Cost_IMH,AVG_Prod_Cost_IMH,AVG_Hold_Cost_IMH,AVG_Transp_Cost_IMH,Algorithm_y,UB_BC,LB_BC,Gap_BC,Diff_IMH,CPU_BC,Total_CPU_BC,Feasibility,Setup_Cost_BC,AVG_Prod_Cost_BC,AVG_Hold_Cost_BC,AVG_Transp_Cost_BC,Algorithm,UB_FR_BC,LB_FR_BC,Gap_FR_BC,CPU_FR_BC,Feasibility_FR_BC,Setup_Cost_FR_BC,AVG_Prod_Cost_FR_BC,AVG_Hold_Cost_FR_BC,Transp_Cost_Total_FR_BC,UB_PostOpt_FR_BC,AVG_Transp_Cost_PostOpt_FR_BC,Diff_Post_Opt,Diff_LB_FR_BC,Diff_UB_FR_BC,AllFeasible_on_Diff_SL_IMH,AllFeasible_on_Diff_SL_FRBC,AllFeasible_on_Diff_SLTypes_IMH,AllFeasible_on_Diff_SLTypes_FRBC
ABS49_50_1,6,3,1,100,0.20,Uniform,alpha,0.70,IMH,11535.56,3911.42,7,Feasible,3000.0,2015.1,473.76,6046.7,BC,11405.76,10854.43,4.83,-1.13,7208.189,11119.61,Feasible,3000.0,2043.46,486.15,5876.15,FR_BC,13043.36,13043.35,0.0,20.119,Feasible,3000.0,2066.7,415.43,7561.23,12610.65,7128.52,-9.55,-12.55,-16.78,True,True,True,True
ABS49_50_1,11,3,1,100,0.20,Uniform,alpha,0.70,IMH,13361.35,32.808,9,Feasible,3000.0,2774.4,1745.94,5698.12,BC,13361.1,12896.11,3.48,-0.0,7204.928,7237.74,Feasible,3000.0,2774.2,1757.33,5829.56,FR_BC,13727.86,13727.86,0.0,37.235,Feasible,3000.0,2770.5,1749.71,6207.65,13369.32,5849.11,-0.06,-2.67,-6.06,True,True,True,True
ABS49_50_1,16,3,1,100,0.20,Uniform,alpha,0.70,IMH,17268.83,63.619,9,Feasible,3000.0,4199.7,2577.06,7376.85,BC,17268.44,16750.88,3.0,-0.0,7203.484,7267.1,Feasible,3000.0,4199.4,2598.54,7470.5,FR_BC,18348.56,18348.56,0.0,88.687,Feasible,3000.0,4193.7,2575.25,8579.61,17277.5,7508.55,-0.05,-5.89,-8.71,True,True,True,True
ABS49_50_1,21,3,1,100,0.20,Uniform,alpha,0.70,IMH,21203.31,95.552,9,Feasible,3000.0,6415.5,3327.22,8417.86,BC,21202.79,20825.11,1.78,-0.0,7203.555,7299.11,Feasible,3000.0,6415.1,3327.1,8460.59,FR_BC,22347.76,22347.74,0.0,156.341,Feasible,3000.0,6400.2,3265.39,9682.17,21168.86,8503.27,0.0,-5.12,-6.81,True,True,False,True
ABS49_50_1,26,3,1,100,0.20,Uniform,alpha,0.70,IMH,23968.95,130.385,9,Feasible,3000.0,7098.3,4404.46,8961.68,BC,23968.32,23605.15,1.52,-0.0,7203.586,7333.97,Feasible,3000.0,7097.82,4427.68,9442.83,FR_BC,25251.53,25251.53,0.0,507.211,Feasible,3000.0,7098.9,4375.01,10777.62,23955.94,9482.03,0.0,-5.08,-6.52,True,True,True,True
ABS49_50_1,31,3,1,100,0.20,Uniform,alpha,0.70,IMH,26614.17,121.827,9,Feasible,3000.0,8739.6,5406.52,9308.3,BC,26614.17,26119.88,1.86,0.0,6051.007,6172.83,Feasible,3000.0,8739.6,5414.15,9460.42,FR_BC,28450.56,28450.55,0.0,952.88,Feasible,3000.0,8728.5,5370.53,11351.53,26584.78,9485.75,0.0,-6.45,-8.19,True,True,True,True
ABS49_50_1,6,3,2,100,0.20,Uniform,alpha,0.70,IMH,13158.82,5437.633,4,Feasible,3000.0,2025.0,438.79,7664.99,BC,13077.29,11685.76,10.64,-0.62,2630.794,8068.43,Feasible,3000.0,2029.96,442.7,7604.63,FR_BC,15246.34,15246.32,0.0,338.812,Feasible,3000.0,2085.9,346.54,9813.9,14631.36,9198.92,-10.62,-14.23,-23.35,True,True,True,True
ABS49_50_1,11,3,2,100,0.20,Uniform,alpha,0.70,IMH,13370.33,46.516,9,Feasible,3000.0,2781.3,1761.83,5802.16,BC,13255.33,13219.21,0.27,-0.86,7203.587,7250.1,Feasible,3000.0,2941.9,1929.53,5383.9,FR_BC,13727.86,13727.85,0.0,85.585,Feasible,3000.0,2770.5,1749.71,6207.65,13369.32,5849.11,-0.85,-3.44,-3.71,True,True,True,True
ABS49_50_1,16,3,2,100,0.20,Uniform,alpha,0.70,IMH,17355.91,137.259,9,Feasible,3000.0,4197.6,2597.01,7561.3,BC,17355.91,16727.49,3.62,0.0,7202.886,7340.14,Feasible,3000.0,4197.6,2597.01,7561.3,FR_BC,20238.95,18579.45,8.2,7203.405,Feasible,3000.0,4196.1,2556.47,10486.38,17721.37,7968.8,-2.06,-6.59,-17.35,True,True,True,True
ABS49_50_1,21,3,2,100,0.20,Uniform,alpha,0.70,IMH,21302.48,456.443,9,Feasible,3000.0,6396.9,3314.23,8478.32,BC,21301.98,20763.28,2.53,-0.0,7208.417,7664.86,Feasible,3000.0,6396.51,3314.12,8591.35,FR_BC,23915.98,22479.64,6.01,7200.378,Feasible,3000.0,6401.7,3265.34,11248.94,22785.9,10118.86,-6.51,-5.24,-13.18,False,True,False,True
